Player,Team,Age,GP,MP,Min,Screen Assists,Screen Assists PTS,,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,Charges Drawn,Contested 2PT�Shots,Contested 3PT�Shots,Contested Shots
Tyrese Maxey,PHI,24,52,1960.4,37.7,0.3,0.6,2.6,0.3,0.4,0.7,37.1,62.9,0.02,1.6,1.8,3.4
Josh Hart,NYK,30,77,2895.2,37.6,1.6,3.7,2.8,0.5,0.7,1.1,40.2,59.8,0.03,2,2.9,4.9
Mikal Bridges,NYK,28,82,3075,37.5,0.4,1,1.7,0.4,0.3,0.7,57.6,42.4,0,2.9,2.1,5
Devin Booker,PHX,28,75,2797.5,37.3,0.4,0.9,1.5,0.5,0.3,0.8,58.7,41.3,0.03,1.8,1.5,3.3
Nikola Jokić,DEN,30,70,2569,36.7,4.3,9.9,3.8,0.3,0.3,0.6,53.8,46.2,0,3.3,2.3,5.6
OG Anunoby,NYK,27,74,2708.4,36.6,0.5,1.2,3.3,0.4,0.3,0.7,50.9,49.1,0.04,4.2,3.5,7.7
Kevin Durant,PHX,36,62,2263,36.5,0.4,0.8,1.5,0.1,0.2,0.3,42.9,57.1,0.02,3,3.2,6.2
Jayson Tatum,BOS,27,72,2620.8,36.4,0.4,1.1,2.1,0.3,0.3,0.6,55.6,44.4,0,1.4,1.8,3.2
Anthony Edwards,MIN,23,79,2867.7,36.3,0.2,0.4,2.2,0.3,0.3,0.6,53.1,46.9,0,1.8,1.5,3.3
Damian Lillard,MIL,34,58,2093.8,36.1,0.2,0.3,3,0.3,0.2,0.5,55.6,44.4,0.03,0.8,1.9,2.7
De'Aaron Fox,SAS,27,62,2238.2,36.1,0.3,0.6,3.1,0.3,0.3,0.7,53.7,46.3,0.02,1.5,3,4.5
Jamal Murray,DEN,28,67,2418.7,36.1,0.3,0.8,2.3,0.4,0.3,0.7,51.1,48.9,0.01,3.2,2.5,5.7
Kyrie Irving,DAL,33,50,1805,36.1,0.5,1.1,3.3,0.5,0.4,0.9,55.8,44.2,0.04,1.6,1.5,3.1
